URL,Description,Status
https://www.freecodecamp.org/news/how-to-get-started-with-firebase-using-python/,random description of the text,PASS
https://www.example.com,random description of the text,PASS
https://www.google.com,random description of the text,PASS
https://www.github.com,random description of the text,FAIL
https://www.python.org,random description of the text,PASS
https://www.amazon.com,random description of the text,PASS
https://www.microsoft.com,random description of the text,PASS
https://www.nytimes.com,random description of the text,FAIL
ttps://www.cnn.com,random description of the text,PASS
https://www.twitter.com,random description of the text,PASS
ttps://www.cnn.com,random description of the text,PASS
https://www.twitter.com,random description of the text,PASS
https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-working-with-csv-file-for-data-science/,random description of the text,PASS
https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-working-with-csv-file-for-data-science/,random description of the text,PASS
https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-working-with-csv-file-for-data-science/,random description of the text,PASS
